director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
Adam Robitel,Lin Shaye,Angus Sampson,Leigh Whannell,Horror Mystery Thriller,insidious: the last key,Lin Shaye Angus Sampson Leigh Whannell Adam Robitel Horror Mystery Thriller
Lauren Wolkstein,Alex Pettyfer,James Freedson-Jackson,Emily Althaus,Thriller Drama,the strange ones,Alex Pettyfer James Freedson-Jackson Emily Althaus Lauren Wolkstein Thriller Drama
Simon West,Dominic Cooper,Austin Stowell,Gemma Chan,Action Thriller,stratton,Dominic Cooper Austin Stowell Gemma Chan Simon West Action Thriller
Warwick Thornton,Bryan Brown,Sam Neill,unknown,Drama Western Thriller,sweet country,Bryan Brown Sam Neill unknown Warwick Thornton Drama Western Thriller
Jaume Collet-Serra,Liam Neeson,Vera Farmiga,Patrick Wilson,Action Thriller Mystery,the commuter,Liam Neeson Vera Farmiga Patrick Wilson Jaume Collet-Serra Action Thriller Mystery
Babak Najafi,Taraji P. Henson,Billy Brown,Danny Glover,Thriller Action Crime,proud mary,Taraji P. Henson Billy Brown Danny Glover Babak Najafi Thriller Action Crime
Brett Donowho,Bruce Willis,Cole Hauser,Shawn Ashmore,Action,acts of violence,Bruce Willis Cole Hauser Shawn Ashmore Brett Donowho Action
Trudie Styler,Alex Lawther,Abigail Breslin,Bette Midler,Comedy Drama,freak show,Alex Lawther Abigail Breslin Bette Midler Trudie Styler Comedy Drama
Sam Hoffman,Jemaine Clement,Elliott Gould,Ingrid Michaelson,Comedy,humor me,Jemaine Clement Elliott Gould Ingrid Michaelson Sam Hoffman Comedy
Daniela Thomas,Adriano Carvalho,Luana Nastas,unknown,Drama,vazante,Adriano Carvalho Luana Nastas unknown Daniela Thomas Drama
Hiromasa Yonebayashi,Ruby Barnhill,Louis Ashbourne Serkis,Kate Winslet,Fantasy Adventure Animation Family,mary and the witch's flower,Ruby Barnhill Louis Ashbourne Serkis Kate Winslet Hiromasa Yonebayashi Fantasy Adventure Animation Family
Nicolai Fuglsig,Chris Hemsworth,Michael Shannon,Michael Peña,War Drama Action History,12 strong,Chris Hemsworth Michael Shannon Michael Peña Nicolai Fuglsig War Drama Action History
Christian Gudegast,Gerard Butler,50 Cent,Pablo Schreiber,Action Thriller Crime,den of thieves,Gerard Butler 50 Cent Pablo Schreiber Christian Gudegast Action Thriller Crime
Bethany Ashton Wolf,Alex Roe,Jessica Rothe,John Benjamin Hickey,Romance Drama Music,forever my girl,Alex Roe Jessica Rothe John Benjamin Hickey Bethany Ashton Wolf Romance Drama Music
Wes Ball,Dylan O'Brien,Kaya Scodelario,Thomas Brodie-Sangster,Science Fiction Action Adventure Thriller,maze runner: the death cure,Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster Wes Ball Science Fiction Action Adventure Thriller
Ziad Doueiri,Adel Karam,Camille Salameh,Kamel El Basha,Comedy Crime,the insult,Adel Karam Camille Salameh Kamel El Basha Ziad Doueiri Comedy Crime
Ben Lewin,Dakota Fanning,Toni Collette,Alice Eve,Comedy Drama,please stand by,Dakota Fanning Toni Collette Alice Eve Ben Lewin Comedy Drama
The Spierig Brothers,Helen Mirren,Jason Clarke,Sarah Snook,Horror Thriller,winchester,Helen Mirren Jason Clarke Sarah Snook The Spierig Brothers Horror Thriller
Sebastián Lelio,Daniela Vega,Francisco Reyes,unknown,Drama,a fantastic woman,Daniela Vega Francisco Reyes unknown Sebastián Lelio Drama
Mario Van Peebles,Mario Van Peebles,William Fichtner,Ryan Guzman,Action Horror Thriller,armed,Mario Van Peebles William Fichtner Ryan Guzman Mario Van Peebles Action Horror Thriller
Julius Onah,Daniel Brühl,Elizabeth Debicki,Aksel Hennie,Horror Science Fiction Action Thriller,the cloverfield paradox,Daniel Brühl Elizabeth Debicki Aksel Hennie Julius Onah Horror Science Fiction Action Thriller
Bryan Coyne,Brea Grant,Graham Skipper,Aly Fitzgerald,Horror,bad apples,Brea Grant Graham Skipper Aly Fitzgerald Bryan Coyne Horror
Will Gluck,James Corden,Domhnall Gleeson,Rose Byrne,Family Comedy Adventure Animation Fantasy,peter rabbit,James Corden Domhnall Gleeson Rose Byrne Will Gluck Family Comedy Adventure Animation Fantasy
James Foley,Dakota Johnson,Jamie Dornan,Kim Basinger,Drama Romance,fifty shades freed,Dakota Johnson Jamie Dornan Kim Basinger James Foley Drama Romance
Clint Eastwood,Anthony Sadler,Alek Skarlatos,Spencer Stone,Thriller History Drama,the 15:17 to paris,Anthony Sadler Alek Skarlatos Spencer Stone Clint Eastwood Thriller History Drama
Marco Polo Constandse,Marco Polo Constandse (director); Omar Chaparro,Marimar Vega,Ryan Carnes,Comedy,la boda de valentina,Marco Polo Constandse (director); Omar Chaparro Marimar Vega Ryan Carnes Marco Polo Constandse Comedy
Brian Crano,Rebecca Hall,Dan Stevens,Morgan Spector,Music Documentary,permission,Rebecca Hall Dan Stevens Morgan Spector Brian Crano Music Documentary
Holger Tappe,Emily Watson,Jason Isaacs,Nick Frost,Animation Family,monster family,Emily Watson Jason Isaacs Nick Frost Holger Tappe Animation Family
Alex Ross Perry,Emily Browning,Adam Horowitz,Mary-Louise Parker,Drama,golden exits,Emily Browning Adam Horowitz Mary-Louise Parker Alex Ross Perry Drama
"Ryan Coogler (director/​screenplay); Joe Robert Cole (screenplay); Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Angela Bassett, Forest Whitaker, Andy Serkis, John Kani, Florence Kasumba, Atandwa Kani, Sterling K. Brown, Isaach de Bankolé, Trevor Noah, Stan Lee, Sebastian Stan",Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o,Action Adventure Science Fiction,black panther,"Chadwick Boseman Michael B. Jordan Lupita Nyong'o Ryan Coogler (director/​screenplay); Joe Robert Cole (screenplay); Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Angela Bassett, Forest Whitaker, Andy Serkis, John Kani, Florence Kasumba, Atandwa Kani, Sterling K. Brown, Isaach de Bankolé, Trevor Noah, Stan Lee, Sebastian Stan Action Adventure Science Fiction"
Nick Park,Eddie Redmayne,Tom Hiddleston,Maisie Williams,Family Comedy Animation Adventure,early man,Eddie Redmayne Tom Hiddleston Maisie Williams Nick Park Family Comedy Animation Adventure
Andrey Zvyagintsev,Maryana Spivak,Alexei Rozin,Matvey Novikov,Drama,loveless,Maryana Spivak Alexei Rozin Matvey Novikov Andrey Zvyagintsev Drama
Sally Potter,Timothy Spall,Kristin Scott Thomas,Patricia Clarkson,Comedy Drama,the party,Timothy Spall Kristin Scott Thomas Patricia Clarkson Sally Potter Comedy Drama
Mark Pellington,Jon Hamm,Nick Offerman,Amber Tamblyn,Drama,nostalgia,Jon Hamm Nick Offerman Amber Tamblyn Mark Pellington Drama
Lance Daly,Hugo Weaving,Jim Broadbent,Stephen Rea,Drama Western,black '47,Hugo Weaving Jim Broadbent Stephen Rea Lance Daly Drama Western
Bruce Macdonald,Taylor James,Jackson Rathbone,Billy Zane,Action Drama Adventure,samson,Taylor James Jackson Rathbone Billy Zane Bruce Macdonald Action Drama Adventure
"Jonathan Goldstein, John Francis Daley",Jason Bateman,Rachel McAdams,Kyle Chandler,Mystery Comedy Crime,game night,"Jason Bateman Rachel McAdams Kyle Chandler Jonathan Goldstein, John Francis Daley Mystery Comedy Crime"
Alex Garland,Natalie Portman,Jennifer Jason Leigh,Gina Rodriguez,Science Fiction Horror,annihilation,Natalie Portman Jennifer Jason Leigh Gina Rodriguez Alex Garland Science Fiction Horror
Michael Sucsy,Angourie Rice,Maria Bello,Debby Ryan,Fantasy Romance,every day,Angourie Rice Maria Bello Debby Ryan Michael Sucsy Fantasy Romance
David Freyne,David Freyne (director); Ellen Page,Sam Keeley,Tom Vaughan-Lawlor,Horror Drama Science Fiction,the cured,David Freyne (director); Ellen Page Sam Keeley Tom Vaughan-Lawlor David Freyne Horror Drama Science Fiction
Brian O'Malley,Charlotte Vega,Bill Milner,Eugene Simon,Horror Thriller Mystery,the lodgers,Charlotte Vega Bill Milner Eugene Simon Brian O'Malley Horror Thriller Mystery
Francis Lawrence,Jennifer Lawrence,Joel Edgerton,Matthias Schoenaerts,Mystery Thriller,red sparrow,Jennifer Lawrence Joel Edgerton Matthias Schoenaerts Francis Lawrence Mystery Thriller
Eli Roth,Bruce Willis,Vincent D'Onofrio,Dean Norris,Action Crime Drama Thriller,death wish,Bruce Willis Vincent D'Onofrio Dean Norris Eli Roth Action Crime Drama Thriller
Shawn Christensen,Logan Lerman,Elle Fanning,Michelle Monaghan,Drama Mystery Romance,the vanishing of sidney hall,Logan Lerman Elle Fanning Michelle Monaghan Shawn Christensen Drama Mystery Romance
Samuel Maoz,Lior Ashkenazi,Sarah Adler,Yonatan Shiray,Comedy Drama War,foxtrot,Lior Ashkenazi Sarah Adler Yonatan Shiray Samuel Maoz Comedy Drama War
Usher Morgan,Elyse Price,Joel Bernard,Katie Vincent,Thriller Action Crime Drama Mystery,pickings,Elyse Price Joel Bernard Katie Vincent Usher Morgan Thriller Action Crime Drama Mystery
Ava DuVernay,Storm Reid,Oprah Winfrey,Reese Witherspoon,Adventure Science Fiction Family Fantasy,a wrinkle in time,Storm Reid Oprah Winfrey Reese Witherspoon Ava DuVernay Adventure Science Fiction Family Fantasy
Nash Edgerton,David Oyelowo,Charlize Theron,Joel Edgerton,Comedy Action Crime,gringo,David Oyelowo Charlize Theron Joel Edgerton Nash Edgerton Comedy Action Crime
Cory Finley,Olivia Cooke,Anya Taylor-Joy,Anton Yelchin,Drama Thriller,thoroughbreds,Olivia Cooke Anya Taylor-Joy Anton Yelchin Cory Finley Drama Thriller
Armando Iannucci,Steve Buscemi,Simon Russell Beale,Paddy Considine,Comedy Drama History,the death of stalin,Steve Buscemi Simon Russell Beale Paddy Considine Armando Iannucci Comedy Drama History
Paolo Virzì,Donald Sutherland,Helen Mirren,unknown,Drama Romance Adventure,the leisure seeker,Donald Sutherland Helen Mirren unknown Paolo Virzì Drama Romance Adventure
Johannes Roberts,Christina Hendricks,Martin Henderson,Bailee Madison,Horror Thriller,the strangers: prey at night,Christina Hendricks Martin Henderson Bailee Madison Johannes Roberts Horror Thriller
Rob Cohen,Toby Kebbell,Maggie Grace,Ryan Kwanten,Action Crime Thriller,the hurricane heist,Toby Kebbell Maggie Grace Ryan Kwanten Rob Cohen Action Crime Thriller
Roar Uthaug,Alicia Vikander,Dominic West,Walton Goggins,Action Adventure Fantasy,tomb raider,Alicia Vikander Dominic West Walton Goggins Roar Uthaug Action Adventure Fantasy
